ID,Nom,Categorie,Unite de matrice,"energie, calories (kcal)","Lipides, totaux (g)","Acides gras, satures (g)","Acides gras, mono-insatures (g)","Acides gras, poly-insatures (g)",Cholesterol (mg),"Glucides, disponibles (g)",Sucres (g),Amidon (g),Fibres alimentaires (g),Proteines (g),Sel (NaCl) (g),Alcool (g),Eau (g),"Activite de vitamine A, RE (µg-RE)","Activite de vitamine A, RAE (µg-RE)",Retinol (µg),Activite de betacarotene (µg-BCE),Betacarotene (µg),Vitamine B1 (thiamine) (mg),Vitamine B2 (riboflavine) (mg),Vitamine B6 (pyridoxine) (mg),Vitamine B12 (cobalamine) (µg),Niacine (mg),Folate (µg),Acide pantothenique (mg),Vitamine C (acide ascorbique) (mg),Vitamine D (calciferol) (µg),Activite de vitamine E (mg-ATE),Potassium (K) (mg),Sodium (Na) (mg),Chlore (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphore (P) (mg),Fer (Fe) (mg),Iode (I) (µg),Zinc (Zn)  (mg),Selenium (Se) (µg)
14086,"Sel, de mer, standard, blanc, sans adjonction d'iode et fluor","Divers/Sel, epices et aromes",par 100 g de portion comestible,0,0,0,0,0,0,0,0,0,0,0,99,0,"0,3",0,0,0,0,0,0,0,0,0,0,0,0,n.i.,0,0,17,39700,57900,30,37,tr.,tr.,"1,8",0,0
423,"Semoule de ble dur, seche","Produits cerealiers, legumineuses et pommes de terre/Autres produits cerealiers",par 100 g de portion comestible,353,"1,4","0,2","0,1","0,5",0,"71,4",1,"70,4","3,4",12,0,0,"12,1",2,1,0,9,9,"0,07","0,06","0,08",0,"2,16",57,"0,35",0,0,"0,1",150,"1,2",87,17,27,100,"0,9","5,1","2,2",n.i.
425,"Semoule de maïs (polenta), seche","Produits cerealiers, legumineuses et pommes de terre/Maïs",par 100 g de portion comestible,350,"1,1","0,1","0,4","0,4",0,"73,8","1,5",72,5,"8,8",0,0,11,26,13,0,156,88,"0,05","0,04","0,1",0,"1,2",5,"0,26",0,0,"0,52",80,1,15,4,20,73,1,"2,5","0,4",n.i.
1619,"Semoule de maïs, cuite","Produits cerealiers, legumineuses et pommes de terre/Maïs",par 100 g de portion comestible,79,"0,2",0,"0,1","0,1",0,"16,7","0,3","16,3","1,1",2,"0,6",0,80,3,2,0,20,20,"0,01","0,01","0,02",0,"0,27","1,1","0,06",0,0,"0,12",18,230,340,"7,3","5,4",17,"0,2","0,7","0,1",n.i.
1510,"Semoule, preparee (avec du lait entier, sans adjonction de sucre)",Sucreries/Cremes et pouding;Plats/Muesli et bouillie,par 100 g de portion comestible,93,3,"1,7","0,7","0,2",12,"11,8","4,8","6,9","0,3","4,6","0,2",0,"80,3",36,34,33,15,15,"0,02","0,19","0,03","0,15","0,3","7,3","0,36","0,4","0,1","0,1",170,73,160,130,13,110,"0,1",11,"0,6",n.i.
1509,"Semoule, preparee (avec du lait partiellement ecreme, sans adjonction de sucre)",Sucreries/Cremes et pouding;Plats/Muesli et bouillie,par 100 g de portion comestible,93,3,"1,7","0,7","0,2",12,"11,8","4,8","6,9","0,3","4,6","0,2",0,"80,3",36,34,33,15,15,"0,02","0,19","0,03","0,15","0,3","7,3","0,36","0,4","0,1","0,1",170,73,160,130,13,110,"0,1",11,"0,6",n.i.
506,Serac,Lait et produits laitiers/Fromage frais et sere,par 100 g de portion comestible,122,"7,2","4,3","1,7","0,3",22,"3,3","3,3",0,0,"10,9","0,1",0,77,67,64,61,40,40,tr.,tr.,"0,04",tr.,tr.,tr.,tr.,tr.,tr.,"0,2",120,33,81,170,11,130,"0,2",tr.,"0,3",n.i.
13501,"Sere, aux fruits",Lait et produits laitiers/Fromage frais et sere,par 100 g de portion comestible,112,"2,4","1,4","0,6","0,1",8,"14,1","13,5",0,"0,1","8,4","0,1",0,"74,4",28,26,25,17,17,"0,01","0,34","0,03","0,37","0,27","16,4","0,3","0,6","0,1","0,1",120,27,85,93,"8,5",120,0,20,"0,4",n.i.
70,"Sere, nature, a la creme",Lait et produits laitiers/Fromage frais et sere,par 100 g de portion comestible,183,"15,6","9,4","3,7","0,7",53,"3,7","3,2",0,0,"6,9","0,1",0,"72,8",164,160,156,49,49,"0,02","0,3","0,03","0,38","0,28","16,7","0,26","0,4","0,2","0,4",120,29,86,93,"8,1",110,0,"8,5","0,3",n.i.
71,"Sere, nature, maigre",Lait et produits laitiers/Fromage frais et sere,par 100 g de portion comestible,61,"0,2","0,1",0,0,n.i.,"4,2","3,5",0,0,"10,6","0,1",0,"83,8",3,3,3,1,1,"0,01","0,39","0,04","0,42","0,31","19,4","0,29","0,1",0,0,140,33,100,110,"9,9",150,0,27,"0,5",n.i.
